Industries,Rank Score (MSEDF),Name of Company,Investors,Maturity,Private equity,Valuation/MktCap,Area,Website,Rank
Gene therapy,7. 4. 7. 2. 5,Abeona (ABEO),George Soros,IPO,$22.85M,$226M,AAV therapy (plasma based),http://abeonatherapeutics.com/,
Gene therapy,TBD,BioViva,,Seed. Preclinical,,,TERT-AAV,,
Gene therapy,4. 3. 5. 1. 3,AGTC,InterWest P. SR One. Alta P. InterSouth P. MedImmune V. Osage University P. Skyline V,Clinical II,N/A,,,,
Gene therapy,8. 8. 7. 5. 8,BluebirdBio,ABN AMRO. Arch VPs. CIRM. Deerfield P. Easton Capital. Forbion capital p. RA Capital Management. Ramius Advisors. Sanofi- Genzyme BioV. Techno V Management. Third rock V. TVM Capital,,,,,,
Gene therapy,7. 8. 5. 4. 7,Voyager,Brookside Capital. Casdin Capital. Fidelity Management and Research Co. . Genzyme. Partner fund management. Third rock V. Wellington Management,,,,,,
Gene therapy,8. 7. 5. 4. 7,Regenxbio (RGNX),Brookside Capital. Cormorant Asset Management. Deerfield. Foresite Capital. FPrime Capital P. Janus Capital Group. Jennison Associates. Perceptive Advisors. QVT Financial. Sectoral Asset Management. Tourbillon Global V. Venrock. Vivo Capital,IPO,,$430M,AAV platform,,
Gene therapy,8. 8. 6. 4. 8,Sangamo BioSciences,Public equity,Clinical IV,,$263.85M,DNA Binding Proteins,www.sangamo.com/index.html,
Gene therapy,6. 6. 7. 4. 3,Lysogene,Sofinnova V,,,,Nervous System gene therapy,,
Gene therapy,5. 6. 4. 6. 4,Juventas,Cleveland Clinic. Triathlon V. New Science V. Takeda V. Fletcher Spaight V. Early Stage P. Reservoir VPs. V Investors LLC. Posco. Green Cross. Gradus Life Sci,Series B. Phase II,$41M,,SDF-1 nonviral gene therapy,http://juventasinc.com/,
Gene therapy,6. 3. 5. 2. 6,Fibrocell,,,$104.46M ($18M debt),,,,
Gene therapy,8. 9. 5. 4. 5,Editas Medicine (EDIT),,IPO,$210M,$516M,,,
